titre_normalise,frequence
acces entre terminal et aire de trafic laisse ouvert,1
non respect des regles de circulation en zec,1
non respect du psi lors de l'embarquement,1
information meteo incomplete,1
inadequation entre ldm et chargement au depart de lys,1
melange de flux,1
presence indesirable sur trajectoire de repoussage,1
non respect des procedures tractage,1
pax embarquant dans le mauvais avion,1
fod - 2 valises sur l'aire de trafic,1
decouverte dommage sur aeronef,1
utilisation du telephone portable dans le psi lors de l'embarquement,1
materiel genant sur voie essencier,1
vehicule stationne dans la zec,1
fod - barriere abandonnee,1
suspicion fuite carburant sur aeronef en vol,1
passage dangereux d'un vehicule derriere marshaler,1
aeronef guide sur mauvais parking,1
fod - deversement tinettes,1
deroutement sur lys cause meteo gva,1
fumee a bord d'un aeronef en vol,1
fod - vis dans pneumatiques vehicules avitailleur,1
fod- cales sur e17,1
problemes techniques lors des deroutements sur lys,1
mauvaise condition meteo sur lys,1
essais moteur sur le parking c41,1
agent de surete vapotant sur l'aire de trafic,1
chien errant en aire de trafic,1
vehicule genant en zec,1
suspicion feu a bord,1
suspicion refus priorite avion au roulage - non avere,1
fod - paille sur taway,1
refus de priorite pendant repoussage,1
abaissement de niveau sslia np5 a np0,1
passerelle non remise en position,1
problemes frequences radio a la twr - non avere,1
conflit entre deux avions au repoussage,1
deroutement sur lys cause meteo a nce,1
suspicion conflit entre deux avions au repoussage - non avere,1
incursion servitude piste de la3,1
passerelle mal positionnee a l'arrive avion,1
deroutements sur lys cause taux zero sur gva,1
fod - sac poubelle sur b93,1
passage derriere aeronef venant d'arriver au parking,1
fod - sac poubelle avion,1
containers souffles par aeronefs,1
fod - vis dans pneumatique avitailleur,1
"avion ouvert, laisse sans surveillance",1
rupture etancheite ligne frontiere - grillage h14,1
anti echappement pax,1
fod non aeronautique voie de circulation devant le h14,1
deroutement sur lys cause paxi a bord,1
tow bar failure during pushback,1
poubelle compagnie sur aire de trafic,1
par brise avion fissure,1
passerelle non remise en position garage,1
fod - debris divers salon fae,1
fod - detritus abandonnes en e11,1
choc gse avec installations aeroportuaires cote ville,1
protection massif 400hz endommagee,1
marshalling sans gilets reflechissant,1
choc avion lors du repoussage,1
conflit entre avion au roulage et repoussage,1
paxi - check-in to - debarque,1
formation trous parking j19,1
choc avion avec gse,1
sacs poubelle,1
paxi : passagere virulente,1
paxi : refuse de se conformer a l'embarquement par zone,1
deroutements sur lys cause meteo sur gva,1
surface degradee en j31,1
conflit entre avions au roulage,1
fod - regle sur piste seuil 34,1
fod debris beton en c63,1
"paxi en vol, debarque a lys par la paf",1
defaut positionnement passerelle en garage,1
paxi - vol to3224,1
non respect de la phraseologie,1
fod poubelle avion,1
mise en place du camion pmr pendant l'avitaillement empechant le degagement d'urgence,1
mise en route feux anti collision avec personnel au sol sous l'avion,1
choc avion detecte a l'arrivee a lys,1
non respect distances de securite passage derriere avion,1
fod fuite hydraulique moteur aeronef,1
fod - fuite hydraulique sur aeronef,1
incursion piste par la,1
collision aviaire en vol,1
fod - carnet,1
fod - brosse en plastique,1
paxi - vol tk1808,1
paxi - utilisation du telephone dans le psi,1
incursion avion sur piste fermee,1
deroutement sur lys cause butee equipage,1
paxi - passager virulent a l'embarquement,1
fod - presence de visserie et boulonnerie sur les differents points de parking,1
arrive a lys avec piece d'aeronef manquante,1
mauvaise utilisation du camion catering,1
paxi - passager crache sur agent assistance,1
intervalle de temps trop court entre depart et arrivee sur un parking avion,1
deroutement sur lys cause panne moteur,1
incursion repoussage par nayak,1
incursion piste de la,1
fod sur parking j39,1
conduite dangereuse d'un vehicule sur l'aire de trafic,1
poubelles abandonnees dans passerelle,1
probleme lors du placement d'un aeronef en m12,1
bruit au niveau d'une porte en vol,1
probleme lors du chargement d'un uld,1
collision entre escabeau et porte avion,1
deroutement sur lys cause couvre feu,1
retour parking cause malaise a bord,1
incident sur loader,1
suspicion repoussage dangereux - non avere,1
colis suspect a bord d'un aeronef,1
collision gse aeronef,1
fod - poubelle compagnie sur aire de trafic,1
refus de priorite avion au poste avant repoussage,1
"paxi - passager indiscipline, debarquee",1
placement interrompu cause incursion camion sasca,1
dysfonctionnement bhs t1,1
travaux dans le psi zone dangereuse - non avere,1
refus de priorite aeronef par vehicule au roulage,1
accident entre un vehicule onet et deux vehicules gimas,1
fod - fuite de gasoil sur escabeau pax > 10m2,1
frein de park non serre apres fin repoussage et decrochage barre,1
vibrations helice,1
degradation etat de surface j35,1
intrusion pax pif t2,1
fod - tache d'huile,1
escabeaux stationnes en zec,1
mauvaise utilisation d'un tracteur repousseur lors de la prise de la roulette de nez du g650,1
frein de park avion inop,1
fod - flaque d'huile,1
fod - aeronautique,1
fod - non aeronautique,1
deconnection prise 400hz - non avere,1
suspicion de refus priorite avion au roulage - non avere,1
trappe porte cargo retrouvee ouverte,1
lievre mort sur piste,1
probleme de centrage avion,1
fod - sac poubelle et divers,1
camion genant un repoussage avion,1
vehicule gare en zec,1
defaut mise en œuvre procedure atr au parking,1
deroutement sur gva cause meteo a lys,1
non respect procedures alerte foudre,1
deplacement du sabot niveleur d'une passerelle,1
alerte incursion asmgcs,1
anomalie sur asmgcs,1
"avion stationne, deplace sur taxiway par le vent",1
deroutement sur lys cause meteo a cdg,1
fod - petit bois,1
materiels mal stationnes c61,1
circulation sur voie reservee,1
panne radar crna d'aix en provence,1
porte correspondance satellite laissee ouverte,1
dysfonctionnement correlation sur radar sna avec consequence sur le trafic,1
fod - cailloux + divers parking d63,1
non respect procedures alerte foudre - non avere,1
probleme information parking,1
pilote eblouis,1
quasi collision avions au poste,1
"intervention sur piste, plus longue que prevu",1
refus de priorite aeronef au roulage par vehicule avitailleur,1
push stationne sur zec,1
mauvais usage des poubelles fod,1
divergence information parking,1
defaut pion d'arrimage compartiment 11r,1
repoussage/tractage non conforme,1
fod - epandage d huile sur parking j19,1
deroutement sur lys cause couvre feux gva,1
deroutement sur lys cause fumee a bord,1
fod - morceau de tole toiture,1
circulation en sens interdit lors de l'embarquement sur voie reservee,1
fod - fuite carburant gpu,1
fod - fuite kerosene (10l - 1m2),1
choc avion avec gse loader,1
communication entre la et sna,1
rupture fusible barre au repoussage,1
"intrusion pax a bord d'un aeronef sans cab, retour parking - doublon fne/24/0059",1
erreur de coordination exercice sslia,1
defaut de communication sur l'alimentation de secours du balisage,1
uld mal verrouille a l'escale precedente,1
probleme lors du chargement bagages et embarquement pax,1
chute ecrou de passerelle,1
fod - sacs plastics,1
aeronef mal stationne n42 - non avere,1
passage d'un pieton devant moteur tournant - non avere,1
nombreuses degradations dans le bhs,1
pilotes eblouis,1
depart de feu sur help pmr,1
fod - gravillons sur t,1
intrusion pax sans cab a bord d'un aeronef,1
materiel stationne sur c83,1
panne ecrans radars a la twr,1
gpu stationne sur vca,1
retour parking cause urgence medicale,1
incursion pieton sur t,1
taux zero de 00h00a 04h00 cause lvp pendant travaux - fne classe sans suite,1
probleme lors du chargement du fret,1
fod - affichette parking voiture,1
trou en formation tango,1
suspicion d'incursion servitude piste de la2,1
collision impliquant un aeronef avec un vehicule,1
bagage qui a pris feu dans la zone tri bagages,1
fod - debris divers,1
fod - sacs de lestage perces,1
fod - joint dalle beton,1
fod - tuyau pvc,1
problemes de gestion des roulages,1
probleme balisage,1
non respect des procedures de degivrages,1
fod - parkings souilles de glycol,1
"deroutement b737 sur lys, probleme hydraulique",1
fod - epandage d huile sur parking j19 - a300 dhl express / reg: dazmo,1
visibilite en passerelle d41 de nuit,1
baisse de np incendie - sans impact operationnel,1
deroutements multiples sur lys cause meteo cmf,1
deroutement lys cause meteo cmf,1
choc entre 2 tracteurs gimas,1
fod - piece en aluminium sur piste,1
refus de priorite avion au repoussage par vehicule de maintenance en ligne,1
peinture ecaillee sur porte de soute avant,1
loquet de trappe retrouve ouvert a l'arrivee a lys,1
une securite manquante sur filet de soute,1
trappe interieure de soute avant manquante,1
choc tracma avec passerelle telescopique,1
"arret decollage, suite probleme technique",1
"refus de priorite aeronef au roulage, par vehicule",1
passage charlatte sous passerelle telescopique en mouvement,1
"refus priorite aeronef anti collision allumes, par escabeau",1
dommage avion constate a l'arrivee a lys,1
incursion piste la en v5,1
declanchement balise detresse,1
baisse np sslia np1 iso np5,1
declenchement alarme incursion piste du la2,1
fumee a bord d'un aeronef,1
fod - eclats de verre sur parking j19,1
fod liquide inconnu,1
taux zero de 00h40 a 02h50,1
absence du service grf,1
entree avion au parking bloquee par avion au repoussage,1
(fod) glycol sur parking avion,1
deroutement sur lys cause probleme volet,1
procedure maintenance farms,1
doublons de la fne/23/0773 - refus priorite avion au repoussage,1
pas d'assistance a l'arrive d'un aeronef,1
incursion piste vehicule chantier - travaux meteo france,1
avitailleur genant l'entree au parking d'un aeronef,1
fod - carburant gse,1
manquement ronde surete,1
materiel gse mal stationne,1
degradation de l'enrobe sur tango,1
stationnement genant b93,1
retour terrain cause probleme verrouillage train,1
roulage sur t sans autorisation,1
malaise pilote en vol,1
probleme temperature moteur,1
intervention tardive de la paf pour paxi a bord aeronef,1
poubelle fod remplie et debordante,1
absence agent aire de mouvement,1
utilisation des vca comme routes de service par agents de piste,1
stationnement genant engins de piste,1
stationnement navette sur vca,1
circulation derriere avion ayant les feux anticollision allumes,1
dommage sur avion,1
absence de notam,1
nombre de pob inexact communique a la twr,1
glycol sur parking avion,1
suspension de la prevention du risque animalier,1
incursion piste 17l du sslia,1
embarquement pmr sur voie de circulation,1
non respect des zones de stationnement,1
fod en a3,1
panne telecommande balisage,1
materiel genant manœuvre avitailleur,1
fod sur bordure vca,1
placeur sans batons lumineux,1
indications du marshaller non suivies par les pilotes,1
nombreuses palettes et sac plastique,1
bouchon de reservoir carburant manquant a l'arrivee a lys,1
fod sur zone ops j81,1
fod en d63,1
affiche sur a9,1
fod - bache plastique,1
passage tapis bags derriere tpx au repoussage,1
fod panneau affichage sgs,1
navette phmr stationnee sur traversee de vca avec passage avion - non avere,1
non respect du psi par pax,1
sac poubelle arabia,1
chariot sur bordure vca,1
rambarde escabeau pax casse pendant debarquement,1
akh retrouve endommage a l'arrivee a lys,1
tpx stationne sur les places reerve phmr,1
intrusion cote piste puis a bord d'un aeronef; declenchement balise elt sur dr400 dans hangar h7,1
croix de st andre 17r hs,1
tentative de demontage d'un accrocheur d'avitaillement par une tierce personne,1
porte de soute laissee ouverte sans surveillance,1
information aeronautique en lien avec les travaux - fermeture piste,1
refus priorite aeronef par vehicule pendant repoussage,1
"mauvais placement avion, positionne sur la mauvaise barre d'arret",1
materiel genant en zec avec impact sur la securite,1
non concordance cpm / chargement physique,1
retour terrain cause voyant turbo allume,1
atterrissage avec train principal droit non verrouille,1
panel missing from the right wing,1
co activite desorganisee - encombrement zep-zec / gse,1
pose be90 avec voyant de train non verrouille,1
incoherence papi 35r,1
intrusion parif 19,1
marquage seuil de piste peu visible,1
dommage sur interieur porte cabine decouvert en vol,1
perte d'alimentation electrique sur avion suite deconnection prise 400hz,1
pmr debarquees et laissees en piste sans surveillance,1
"probleme technique avion, retour terrain",1
uld decouvert endommage a l'arrive a lys,1
filet de soute mal verrouille,1
passage gse sous passerelles,1
sac poubelle compagnie dans poubelle fod,1
encombrement cheminement pieton,1
trappe gpu retrouve ouverte a l'arrivee a lys,1
perte puissance moteur,1
deambulation pax en zone reserve,1
ouverture porte cabine non securisee,1
collision aviaire - zone a,1
porte palettes sur poste avion,1
incursion vehicule wfs pendant roulage avion,1
fumee anormale sur moteur avion,1
trappe eau potable decouverte ouverte a l'arrive,1
filet de soute endomage,1
suspicion de repoussage dangereux - non avere,1
pieton inanime cote piste - non respect des dispositions du pua lyn,1
porte pe8022 ne se verrouille pas - defaut etancheite ligne frontiere,1
"article prohibe - couteau, non detecte et embarque en cabine",1
push back en mouvement sans conducteur,1
conflit au repoussage entre deux avions,1
"interruption de repoussage, conflit entre deux avions",1
exercice surete sans coordination,1
encombrement zone operationnelle,1
choc vehicule avec installation aeroportuaire,1
retour terrain cause probleme train d'atterrissage,1
baisse np sslia np7 iso np9 sans impact operationnel - non averee,1
encombrement parking l11,1
chien divaguant en soute,1
fod hydraulique en c83,1
debut incendie aux abords de la piste 17l,1
perte communication automate balisage,1
fod gasoil en c21,1
probleme de roulette de nez a l'atterrissage,1
traversee de vca en dehors des routes de service,1
incursion vehicule gsf pendant repoussage,1
epandage carburant l15,1
"pb avec les camions d'avitaillement , batiment locindus",1
fod sur parking d61,1
materiel genant l'entre de l'avion au parking,1
incursion piste 17r,1
defaut pressurisation,1
intrusion pax cote piste par vba,1
collision passerelle d23 charlatte alz,1
fod sur j81,1
incursion piste 17l du flyco sans conflit,1
encombrement zep avec quasi collision passerelle/gse,1
erreur placement qr052/21aug,1
fod deversement gas-oil,1
probleme moteur sur mooney m20,1
probleme de frein a l'atterrissage,1
boulon sur main wheel casse + absence boulons,1
engin de piste sur vca,1
fod - debordement kerosene 2m2,1
trappe gpu endommagee,1
materiels mal stationnes sur parking avions,1
fod hydraulique - camion avitailleur - rupture flexible huile hydraulique 80172 > 100l,1
refus priorite aeronef au repoussage par vehicule,1
encombrement zec par gse,1
baisse np incendie np7 iso np9 - sans impact operationnel,1
collision entre vehicule avitailleur ag355 et barre de tractage,1
probleme variometre en vol,1
non respect du poste de stationnement attribue par l'exploitation,1
doublon fne 23/478 collision aviaire - sans dommage - zone a,1
doublon fne 23/481 collision aviaire - sans dommage - zone a,1
"refus de priorite avion au roulage, par vehicule de chantier",1
"refus de priorite avion au roulage, par vehicule",1
"article prohibe dgr - arme classe d, non detecte et embarque en cabine",1
materiel mal stationne,1
materiels mal stationne,1
choc equipements aeroportuaires,1
refus priorite aeronef au repoussage par vehicule phmr,1
taux zero de 00h00 a 01h00,1
choc avion avec equipement vehicule avitailleur - no go,1
defaillance systeme trop plein pompe self 100ll,1
intrusion pax zpnla par porte flip flow,1
"doublon fne 23/441 acceleration - arret, suspicion de collision aviaire",1
fod - fuite hydraulique 14m2,1
choc avion avec tapis bagages,1
parking avion d41 / d22 encombre de materiels,1
stationnement genant sur place phmr,1
arret passerelle cause tracma passe dessous,1
chien sur aire de trafic,1
voyant moteur temperature elevee,1
probleme avion en vol - perte marche pied,1
erreur marquage au sol,1
intrusion 4 pax via vba 20007,1
presque refus de priorite avion au repoussage,1
retour terrain suite probleme moteur,1
non respect des voies de circulations sur l aire de trafic,1
manipulation mecanique pendant avitaillement,1
probleme sur prise 400hz,1
fod - cales sur ligne de guidage,1
collision aviaire - sans dommage - hors aerodrome,1
retours pilotes sur mauvais reglage du papi,1
fod sur route de service essencier,1
fod sur l11,1
charlatte sur voie de circulation avion.,1
panne balisage lateral piste 17r/35l,1
rupture etancheite ligne frontiere - choc avec tracma,1
intrusion pietons cote piste,1
circulation sous passerelle,1
collision dans le bhs,1
collision mammifere - lievre,1
degats bhs,1
accident entre vehicules,1
retour terrain cause fumee a bord,1
vehicule derriere avion - non avere,1
casque oublie dans train d'atterrissage,1
incursion piste 35l/17r,1
vehicule en mouvement sans conducteur,1
balise lumineuse bleue arrachee,1
retour terrain suite fumee a bord,1
non respect des regles de conduite,1
fod metallique sur route de service,1
conflit entre 1 avion au repoussage et 1 avion au roulage sur l'aire de trafic - arret du push,1
"refus de priorite avion au repoussage, par vehicule, sans impact",1
helicopteres stationnes sur vca,1
incursion pendant le placement de l'avion,1
conduite dangereuse en piste et non respect du psi,1
non port des epi + vehicule dans le psi,1
conduite dangereuse en piste,1
fod route de service,1
zec et voie essencier encombree par des poussettes alyzia,1
parking avion d41 / d22 encombres de materiels,1
fod : sacs poubelles sur parking avion,1
collision aviaire sans dommage - zone a - non averee,1
collision aviaire - sans dommage - zone a - non averee,1
baisse np incendie en np7 et np5 - pas d'impact operationnel,1
self parking suite absence de marshaller,1
"zec encombree par gse, avec impact operationnel",1
"retour terrain, probleme voyant",1
atterrissage avec odeur de brule a bord,1
fod - fuite hydraulique sur loader < 1m2,1
fod - fuite de kerosene < 1m2,1
loquet de trappe de soute ouvert a l'arrivee a lys,1
auto information a l'atterrissage effectuee en anglais au lieu du francais,1
fod - fuite hydraulique sur escabeau pax,1
fod - dechirure pneu citerne 35151,1
"circulation a contresens sur voie essencier , traversee des parkings avions, vitesse excessive",1
encombrement zep par gse alyzia,1
"refus de priorite avion au repoussage, par vehicules",1
encombrement voie essencier par gse,1
"circulation vl sur voies reservees aux bus, petroliers et pmr",1
intrusion pieton dans les servitudes du h,1
incursion navette equipage pendant repoussage,1
interruption repoussage suite passage aeronef - conflit au roulage,1
porte ouverte hangar h08 travee a&b harmony jets - ligne frontiere cv/cp permeable,1
traversee vca par vl en dehors des routes de service,1
vehicule avp stationne en zep d21,1
gestion sol complexe,1
intrusion pax cote piste - avec impact operationnel,1
avion en difficultes a l'atterrissage - probleme volets,1
fod - fuite hydraulique sur loader,1
pieton sur vca,1
fod - fuite hydraulique sur camion catering,1
usage de cigarette + utlisation d'appareils electroniques dans le psi,1
baisse niveau de protection incendie - sans impact sur le trafic,1
encombrement zep et zec par materiel d'assistance en escale stationne - avec impact operationnel,1
stationnement gse sur route de service,1
rapprochement aeronefs entre un atterrissage 17l et un decollage 17r,1
suspicion de refus de priorite avion au repoussage par 2 bus de transport passagers - non averee,1
refus priorite avion par vehicule gimap pendant repoussage,1
drone dans la ctr a proximite des trajectoire de departs,1
coupure alimentation electrique,1
collision aviaire - avec dommage avion,1
bus et vehicule onet refuse priorite a un aeronef sur r2,1
poubelle easyjet abandonnee cote piste,1
vehicule stationne sur zone de rassemblement passagers,1
conducteur gimap remontant la voie essencier a vive allure et a contresens,1
agent alyzia roulant a vive allure et a contresens sur la voie essencier cote juliet,1
nombreuses palettes en bois,1
poubelles easyjet abandonnees sur point de parking,1
refus priorite avion par charlatte onet pendant repoussage,1
cargo hold scratch/dent/scuff,1
"retour terrain, panne electrique",1
app lyon st ex injoignable,1
encombrement zone materiel gimas par materiels avp,1
fod- deversement par event d'aile,1
encombrement zec / zep par gse,1
fod - fuite de kerosene 15m2,1
main deck cargo hold side torn by contenair,1
defaut wig wag v5,1
"marche arriere camion catering en zec, sans guidage",1
encombrement zep par gse,1
"encombrement zep par chariots avec bagages, pendant traitement avion",1
entrave au depart d'urgence de l'avitailleur pendant les pleins,1
incursion piste sslia pendant manœuvres d'essais de vitesse,1
marquage au sol pictogramme use,1
vibration moteur avion,1
deroutement lys suite alarme feu moteurs + fumee a bord,1
gtc onduleur poste nord defaut circuit,1
"2 portes cabine en position ouverte pendant nettoyage cabine, sans escabeau",1
collision passerelle mobile avec un tiers non identifie,1
baisse de np incendie en np0 - sans impact operationnel,1
doublon fne 23/180 collision aviaire 35l,1
fod - epandage carburant n21,1
fod - valises sur r3,1
agent en trottinette electrique sous le t2,1
fod - fuite hydraulique sur help,1
voie d'acces petrolier encombree,1
stationnement materiel assistant sur zep,1
poubelle easyjet abandonnee sur l'aire de trafic,1
poubelles easyjet abandonnees au satellite,1
accueil aeronef code f,1
avion deroute,1
agent circulant en vl sur vca,1
pas d'assistant a l'arrivee de l'avion,1
fod sur tango juliet,1
circulation tracma sur vca,1
roulette de nez bloque pendant repoussage,1
fod r3,1
retrait escabeau avec porte avion ouverte,1
fod intersection de r3 et r4,1
fod niveau a6,1
incursion servitude fato,1
atterrissage avec suspicion probleme sur train d'atterrissage.,1
encombrement emplacement bus,1
electrisation intervenant maintenance sur falcon 50,1
non-respect regles de circulation aire de trafic,1
presque accident entre vehicule et pieton,1
fod gazole,1
heurt vim secu 14 dans porte hangar sslia lyn,1
encombrement parking l15,1
choc avion avec loader - aog,1
vehicule passe derriere l'avion au repoussage,1
poubelles aire arabia abandonnees cote piste,1
stationnement sur emplacement bus,1
crochet manquant sur prise 400htz,1
cas concret passage en force pif t1b,1
decouverte rayures sur avion,1
quasi collision au repoussage,1
incursion repoussage avia,1
incursion repoussage,1
t1 cran d'arret,1
tracma roulant sur le flexible d'avitaillement et liaison equipotentielle,1
bags sans surveillance,1
choc avion avec pieton (casque pompier),1
defaut positionnement garde corps sur escabeau pax,1
encombrement parking zec,1
gene essencier,1
deroutement pour dechargement bag sans pax,1
porte ouverte hangar h06 oyonnair - ligne frontiere cv/cp permeable,1
systeme de verrouillage porte cargo ouvert,1
encombrement parking c82,1
survol de l'aerodrome par drone,1
non respect du temps de degivrage avant depart,1
encombrement zep par chariots bagages - gene au retrait de la passerelle,1
choc degivreuse avion avec installations aeroportuaires,1
stationnement genant 1d,1
stationnement genant c11,1
bag recupere sur aire de trafic,1
encombrement zone evolution passerelle par gse,1
encombrement zone ops par escabeaux - gene placement avitailleur,1
fod route de service r3,1
encombrement zone de rassemblement en d80,1
encombrement zone de rassemblement en d63,1
encombrement zone de rassemblement en d43,1
encombrement zone de rassemblement en d23,1
traversee aire de trafic par chariot eau potable sans chauffeur,1
gse stationne sur zone de rassemblement en d21,1
presence importante de glycol au sol,1
encombrement zone operationnelle par escabeau et cales,1
incursion vehicule sur voie de circulation avion,1
encombrement zec par poussette cargo,1
groupe de parc branche et connecte sans sangle de retenue,1
traction de 4 chariots dans le bhs,1
vl thermique dans le bhs et multiples infractions sur zones interdites,1
chute d'un pax sur glycol - embarquement a pied,1
avion mal positionne,1
non respect essai moteur point fixe tm,1
aeronef qui vient se positionner a son parking sans guidage,1
arret repoussage - refus priorite avion par vehicule,1
fod - barre de tractage sur voie de circulation avion,1
avion pose avec probleme technique,1
stationnement gse genant - gene au positionnement de l'escabeau passagers,1
baisse np sslia np7 iso np9 - sans impact sur le trafic,1
paxi - decompression porte bus pistes par passager et cigarette a proximite avion,1
dommage avion suite choc avec tapis bagages,1
"stationnement et evolution gse genant, sous passerelle",1
fod - debris divers sur zec,1
deroutement d'un a333 gva-yul causes techniques,1
sortie passagers sur pistes,1
paxi debarques de l'avion,1
cabin door safety railing broken,1
choc passerelle avec gse,1
panne balisage selon la platine,1
refus de priorite avion par charlatte,1
"conflit a l'atterrissage 17r, piste occupee, remise de gaz",1
refus de priorite avion au roulage a l'arrivee au parking,1
avion immobilise sur piste 35l,1
stationnement genant k52,1
choc tracma avec installations aeroportuaires,1
glycol sur zone avion,1
mise en route anticipee des feux anti collisions avec presence personnel autour de l'avion,1
fod sur intersection r2-r3,1
paxi - individu agressif et menacant avec l'agent d'accueil aerogare lyn et avec 2 pompiers sslia,1
erreur d'affectation - a321 non autorise sur l17,1
vehicule en mouvement sans chauffeur,1
non respect par l'aeronef de la clairance - franchissement barre d'arret a9,1
non respect par l'aeronef de la clairance - franchissement de la barre d'arret b4,1
deversement kerosene par l'event droit sur b737 jet2.com,1
loader avp stationne en zec m13,1
loader stationne dans la zec,1
gse stationnes sur zone ops,1
materiel d'assistance genant sur zec,1
materiel d'assistance sur zep,1
eclatement d'un pneu vehicule avitailleur cause fod,1
defaut niveau barre d'arret b4,1
trou enrobe twy t4 (2),1
stationnement materiel assistance genant sur passage pieton en face porte c11,1
choc vehicule avec portail fret dhl,1
stationnement genant sur passage pieton face porte c11,1
fod su piste 35l,1
vehicule qui passe entre le flyco et l'avion lors d'un convoyage,1
materiel d'assistance en escale dans zec,1
dolly avec containers sur zep,1
refus priorite avion kl1415 par charlatte onet,1
passage d'un camion avitailleur devant aeronef au roulage,1
paxi - passagers qui fument a l'embarquement,1
sortie non autorisee porte b07,1
materiel d'assistance genant sur zone ops,1
help genant depart d'urgence avitailleur,1
fuite carburant moteur 2 lors du demarrage,1
pieton traversant r4,1
refus priorite avion par vehicule berthelet,1
collision avion (volet) avec vehicule avitaillement,1
fod : eclats de verre devant entree zone de fret dhl,1
collision vehicule avitaillement/avion,1
collision aviaire mouette au roulage sur qfu,1
gse genant sur passage pieton zec,1
mauvais stationnement des gse sur zep,1
"vehicule stationne sur voie de circulation avion, puis evolution dangereuse",1
mauvais stationnement des gse - gene au positionnement de l'avitailleur,1
poubelle fod pleine,1
accrochage aeronef turkish airlines par camion avitailleur,1
presence huile sur parking j19,1
epandage kerosene sur vol transavia,1
trou enrobe twy t4,1
poubelles easyjet abandonnees sur l'aire de trafic,1
poubelles aire arabia et transavia abandonnees sur l'aire de trafic,1
materiels sur zone d'evolution passerelles,1
incident dechargement rng - dgr,1
sangle sur tango alpha,1
camion help positionne trop tot,1
materiels genants en zep c81,1
dysfonctionnement procedure communication sslia/ sna en frequence,1
materiels avia genant le positionnement de l'avitailleur,1
fod fuite hydraulique d41,1
materiels genants d43,1
chute d'un avitailleur de plein pied,1
tracteur avp bloquant l'acces a l'avitailleur c81,1
escabeau motorise onet genant le marshalling du to3225 en k52,1
fod sac poubelle sur j31,1
nombreuses palettes en bois sur l'aire de trafic,1
materiel genant passerelle d43,1
presque accident pieton passerelle,1
probleme roulette de nez af1515,1
mauvais placement avion j37 iso j89,1
"probleme de freinage, train sorti et verrouille",1
help bloque sur l'avion au poste de stationnement,1
incident lors de la mise en route du mode hotel,1
agent de piste souffle par moteur avion,1
encombrement zep d43,1
interruption repoussage,1
incursion fenwick pendant repoussage,1
temperature tp eleve,1
incursion piste pieton + probleme radar sol,1
deperditeur statique retrouve,1
probleme moteur (surchauffe cylindre),1
panne pressurisation,1
fod axe de piste face a la sortie a2,1
fod piste seuil 34,1
zec encombree par materiels d23,1
fod j37,1
zec d43 encombree par materiels avp,1
fuite kerosene e11,1
pieton sur ta,1
echauffement des trains d'atterissage,1
quasi-collision avion avec passerelle a l'arrivee du aca876,1
panne ddpis,1
fod taxiway principal au niveau parking nord,1
fod j13,1
conflits atterrissage - decollage 17l,1
passage d'un vehicule lors du refoulement af1498,1
epandage de jet- a1 sur une passerelle mobile pendant un avitaillement 20l,1
fod debordement kerosene c41,1
filets non attaches en bulk ts572,1
palettes non dechargees ts572,1
charlatte gsf en zep c81,1
materiels avp encombrants parking j87 et j81,1
escabeau genant arrivee l17,1
fod poubelles air arabia l11,1
passager en etat d'ivresse,1
zec encombree c82,1
etat soute hc427,1
non respect priorite aeronef,1
paxi en salle d'embarquement,1
balise de bord de piste cassee avec bris de verre sur piste,1
dommage avion cause par loader avp,1
passage derriere avion au repoussage af7643,1
illumination laser,1
non respect de la limitation de vitesse dans le bhs,1
fod - fuite d'huile,1
"collision aviaire a l'atterrissage, pas d'oiseau retrouve",1
collision aviaire au decollage - non averee,1
fod - ballon helium sur air de manœuvre,1
paxi insultante,1
intrusion d'un sanglier cote piste,1
passager indisciplinee,1
passager indisciplinee et violente,1
defaut surveillance avion night stop porte cabine ouverte,1
baisse np sslia np5 iso n09,1
vehicules passant derriere avion pendant repoussage,1
fod c81,1
fod d43,1
fod d41,1
poubelles ouvertes j31,1
charlatte avp dans zec d41,1
ligne frontiere,1
dommage avion avec ambulift,1
chargement fret tombe en j11 et d41,1
cloture endommagee niveau hop maintenance,1
fod c43,1
fod sur a1,1
dommage avion fait par tapis,1
maximum load height limit not respected,1
encombrement zep d41,1
refus de priorite charlatte avp pendant roulage oeivl,1
fuite hydraulique asu alz en c83,1
fod intersection tl et r3,1
zec encombree c81,1
intrusion zec pendant depart vol,1
refus priorite avion sn3587,1
materiels sur zone d evolution passerelle c81,1
fod en m13 et m11,1
delai d'intervention sslia,1
fod sur c21/c23,1
intrusion pax via flip flow 10836 jonction t1a t1b,1
passager indisipline et insultant,1
stationnement gse sur zec d21,1
melange de flux pax c01/ b02,1
arret d un avion sur mauvaise barre d arret,1
vehicule leger (sans conducteur) traversant le taxiway,1
stationnement gse genant zep,1
filet mal attachee a l'arrivee aja,1
passerelle d43 percutee/ tracma alz,1
defaut d'arrimage,1
baisse np sslia np5 iso np9,1
baisse np sslia np7 iso np9 - san impact sur le trafic,1
fod - fuite kerosene 10l,1
demande changement porte suite forte temperature en d01-d02,1
collision aviaire au decollage a 100ft,1
fod - debordement kerosene d23,1
passagers indisciplines en porte d'embarquement,1
organisation parking lys,1
stationnement avion non conforme,1
materiels genant sur zone apparaux,1
balisage axial,1
acceleration arret - probleme techniques avion,1
